1/5/17: perfect grab and dump; 
jeff messed up one_dump code
joce video taped the move
wheel_init
pre_auton
%  batt 8.15v 8.15v
L: t_push=   200
usercontrol
% -- Start auto_a
K1 1087  360  100  550
% -- Curved motion to grab cube
WHEEL_MONITOR=MONITOR
R 10000 -589  544 -1630
W 10020  646  615 -1080
R 10020 -589  544 -1630
W 10040  646  615 -1080
R 10040 -589  544 -1630
W 10060  646  615 -1080
R 10060 -589  544 -1630
W 10080  646  615 -1080
R 10080 -589  544 -1630
W 10100  646  615 -1080
R 10100 -589  544 -1630
W 10120  646  615 -1080
R 10120 -589  544 -1630
W 10140  646  615 -1080
R 10140 -589  544 -1630
W 10160  646  615 -1080
R 10160 -589  544 -1630
W 10180  646  615 -1080
R 10180 -589  544 -1630
W 10200  646  615 -1080
R 10200 -589  544 -1630
W 10220  646  615 -1080
R 10220 -589  544 -1630
W 10240  646  615 -1080
R 10240 -589  544 -1630
W 10260  646  615 -1080
R 10260 -589  544 -1630
W 10280  646  615 -1080
R 10280 -589  544 -1630
W 10300  646  615 -1080
R 10300 -589  544 -1630
W 10320  646  615 -1080
R 10320 -589  544 -1630
W 10340  646  615 -1080
R 10340 -589  544 589  544 -1630
W 10380  646  615 -1080
R 10380 -589  544 -1630
W 10400  646  615 -1080
R 10400 -589  544 -1630
W 10420  646  615 -1080
R 10420 -589  544 -1630
W 10440  646  615 -1080
R 10440 -589  544 -1630
W 10460  646  615 -1080
R 10460 -589  544 -1630
W 10480  646  615 -1080
R 10480 -589  544 -1630
W 10500  646  615 -1080
R 10500 -589  544 -1630
W 10520  646  615 -1080
R 10520 -589  544 -589  544 -1630
W 10600  646  615 -1080
R 10600 -589  544 -1630
W 10620  646  615 -1080
R 10620 -589  544 -1630
W 10640  646  615 -1080
R 10640 -589  544 -1630
W 10660  646  615 -1080
R 10660 -589  544 -1630
W 10680  646  615 -1080
R 10680 -589  544 -1630
W 10700  646  615 -1080
R 10700 -589  544 -1630
W 10720  646  615 -1080
R 10720 -589  544 -1630
W 10740  646  615 -1080
R 10740 -589  544 -1630
W 10760  646  615 -1080
R 10760 -589  544 -1630
W 10780  646  615 -1080
R 10780 -589  544 -1630
W 10800  646  615 -1080
R 10800 -589  544 -1630
W 10820  646  615 -1080
R 10820 -589  544 -1630
W 10840  646  615 -1080
R 10840 -589  544 -1630
W 10860  646  615 -1080
R 10860 -589  544 -1630
W 10880  646  615 -1080
R 10880 -589  544 -1630
W 10900  646  615 -1080
R 10900 -589  544 -1630
W 109589  544 -1630
W 10960  646  615 -1080
R 10960 -589  544 -1630
W 10980  646  615 -1080
R 10980 -589  544 -1630
W 11000  646  615 -1080
R 11000 -589  544 -1630
W 11020  646  615 -1080
R 11020 -589  544 -1630
W 11040  646  615 -1080
R 11040 -589  544 -1630
W 11060  646  615 -1080
R 11060 -589  544 -1630
W 11080  646  615 -1080
R 11080 -589  544 -1630
W 11100  646  615 -1080
R 11100 -589  544 -589  544 -1630
W 11160  646  615 -1080
R 11160 -589  544 -1630
W 11180  646  615 -1080
R 11180 -589  544 -1630
W 11200  646  615 -1080
R 11200 -589  544 -1630
W 11220  646  615 -1080
R 11220 -589  589  544 -1630
W 11260  646  615 -1080
R 11260 -589  544 -1630
W 11280  646  615 -1080
R 11280 -589  544 -1630
W 11300  646  615 -1080
R 11300 -589  544 -1630
W 11320  646  615 -1080
R 11320 -589  544 -1630
W 11340  646  615 -1080
R 11340 -589  544 -1630
W 11360  646  615 -1080
R 11360 -589  544 -1630
W 11380  646  615 -1080
R 11380 -589  544 -1630
W 11400  646  615 -1080
R 11400 -589  544 -1630
W 11420  646  615 -1080
R 11420 -589  544 -1630
W 11440  646  615 -1080
R 11440 -589  544 -1630
W 11460  646  615 -1080
R 11460 -589  544 -1630
W 11480  646  615 -1080
R 11480 -589  544 -1630
W 11500  646  615 -1080
R 11500 -589  544 -1630
W 11520  646  615 -1080
R 11520 -589  544 -1630
W 11540  646  615 -1080
R 11540 -589  544 -1630
W 11560  646  615 -1080
R 11560 -589  544 -1630
W 11580  646  615 -1080
R 11580 -589  544 -1630
W 11600  646  615 -1080
R 11600 -589  544 -1630
W 11620  646  615 -1080
R 11620 -589  544 -1630
W 11640  646  615 -1080
R 11640 -589  544 -1630
W 11680  646  615 -1080
R 11680 -589  544 -1630
W 11700  646  615 -1080
R 11700 -589  544 -1630
W 11720  646  615 -1080
R 11720 -589  544 -1630
W 11740  646  615 -1080
R 11740 -589  544 -1630
W 11760  646  615 -1080
R 11760 -589  544 -1630
W 11780  646  615 -1080
R 11780 -589  544 -1630
W 11800  646  615 -1080
R 11800 -589  544 -1630
W 11820  646  615 -1080
R 11820 -589  544 -1630
W 11840  646  615 -1080
R 11840 -589  544 -1630
W 11860  646  615 -1080
R 11860 -589  544 -1630
W 11880  646  615 -1080
R 11880 -589  544 -1630
W 11900  646  615 -1080
R 11900 -589  544 -1630
W 11920  646  615 -1080
R 11920 -589  544 -1630
W 11940  646  615 -1080
R 11940 -589  544 -1630
W 11960  646  615 -1080
R 11960 -589  544 -1630
W 11980  646  615 -1080
R 11980 -589  544 -1630
W 12000  646  615 -1080
R 12000 -589  544 -1630
W 12020  646  615 -1080
R 12020 -589  544 -1630
W 12040  646  615 -1080
R 12040 -589  544 -1630
W 12060  646  615 -1080
R 12060 -589  544 -1630
W 12100  646  615 -1080
R 12100 -589  544 -1630
W 12120  646  615 -1080
R 12120 -589  544 -1630
W 12140  646  615 -1080
R 12140 -589  544 -1630
W 12160  646  615 -1080
R 12160 -589  544 -1630
W 12180  646  615 -1080
R 12180 -589  544 -1630
W 12200  646  615 -1080
R 12200 -589  544 -1630
W 12220  646  615 -1080
R 12220 -589  544 -1630
W 12240  646  615 -1080
R 12240 -589  544 -1630
W 12260  646  615 -1080
R 12260 -589  544 -1630
W 12280  646  615 -1080
R 12280 -589  544 -1630
W 12300  646  615 -1080
R 12300 -589  544 -1630
W 12320  646  615 -1080
R 12320 -589  544 -1630
W 12340  646  615 -1080
R 12340 -589  544 -1630
W 12360  646  615 -1080
R 12360 -589  544 -1630
W 12380  646  615 -1080
R 12380 -589  544 -1630
W 12400  646  615 -1080
R 12400 -589  544 -1630
W 12420  646  615 -1080
R 12420 -589  544 -1630
W 12440  646  615 -1080
R 12440 -589  544 -1630
W 12460  646  615 -1080
R 12460 -589  544 -1630
W 12480  646  615 -1080
R 12480 -589  544 -1630
W 12540  646  615 -1080
R 12540 -589  544 -1630
W 12560  646  615 -1080
R 12560 -589  544 -1630
W 12580  646  615 -1080
R 12580 -589  544 -1630
W 12600  646  615 -1080
R 12600 -589  544 -1630
W 12620  646  615 -1080
R 12620 -589  544 -1630
W 12640  646  615 -1080
R 12640 -589  544 -1630
W 12660  646  615 -1080
R 12660 -589  544 -1630
W 12680  646  615 -1080
R 12680 -589  544 -589  544 -1630
W 12740  646  615 -1080
R 12740 -589  544 -1630
W 12760  646  615 -1080
R 12760 -589  544 -1630
W 12780  646  615 -1080
R 12780 -589  544 -1630
W 12800  646  615 -1080
R 12800 -589  544 -1630
W 12820  646  615 -1080
R 12820 -589  544 -1630
W 12840  646  615 -1080
R 12840 -589  544 -1630
W 12860  646  615 -1080
R 12860 -589  544 -1630
W 12880  646  615 -1080
R 12880 -589  544 -589  544 -1630
W 12940  646  615 -1080
R 12940 -589  544 -1630
W 12960  646  615 -1080
R 12960 -589  544 -1630
W 12980  646  615 -1080
R 12980 -589  544 -1630
W 13000  646  615 -1080
R 13000 -589  544 -1630
W 13020  646  615 -1080
R 13020 -589  544 -1630
W 13040  646  615 -1080
R 13040 -589  544 -1630
W 13060  646  615 -1080
R 13060 -589  544 -1630
W 13080  646  615 -1080
R 13080 -589  544 -589  544 -1630
W 13120  646  615 -1080
R 13120 -589  544 -1630
W 13140  646  615 -1080
R 13140 -589  544 -1630
W 13160  646  615 -1080
R 13160 -589  544 -1630
W 13180  646  615 -1080
R 13180 -589  589  544 -1630
W 13220  646  615 -1080
R 13220 -589  544 -1630
W 13240  646  615 -1080
R 13240 -589  544 -1630
W 13260  646  615 -1080
R 13260 -589  544 -1630
W 13280  646  615 -1080
R 13280 -589  589  544 -1630
W 13320  646  615 -1080
R 13320 -589  544 -1630
W 13340  646  615 -1080
R 13340 -589  544 -1630
W 13360  646  615 -1080
R 13360 -589  544 -1630
W 13380  646  615 -1080
R 13380 -589  544 -1630
W 13400  646  615 -1080
R 13400 -589  544 -1630
W 13420  646  615 -1080
R 13420 -589  544 -1630
W 13440  646  615 -1080
R 13440 -589  544 -1630
W 13460  646  615 -1080
R 13460 -589  544 -589  544 -1630
W 13520  646  615 -1080
R 13520 -589  544 -1630
W 13540  646  615 -1080
R 13540 -589  544 -1630
W 13560  646  615 -1080
R 13560 -589  544 -1630
W 13580  646  615 -1080
R 13580 -589  544 -1630
W 13600  646  615 -1080
R 13600 -589  544 -1630
W 13620  646  615 -1080
R 13620 -589  544 -1630
W 13640  646  615 -1080
R 13640 -589  544 -1630
W 13660  646  615 -1080
R 13660 -589  544 -589  544 -1630
W 13720  646  615 -1080
R 13720 -589  544 -1630
W 13740  646  615 -1080
R 13740 -589  544 -1630
W 13760  646  615 -1080
R 13760 -589  544 -1630
W 13780  646  615 -1080
R 13780 -589  544 -1630
W 13800  646  615 -1080
R 13800 -589  544 -1630
W 13820  646  615 -1080
R 13820 -589  544 -1630
W 13840  646  615 -1080
R 13840 -589  544 -1630
W 13860  646  615 -1080
R 13860 -589  544 -589  544 -1630
W 13920  646  615 -1080
R 13920 -589  544 -1630
W 13940  646  615 -1080
R 13940 -589  544 -1630
W 13960  646  615 -1080
R 13960 -589  544 -1630
W 13980  646  615 -1080
R 13980 -589  544 -1630
W 14000  646  615 -1080
R 14000 -589  544 -1630
W 14020  646  615 -1080
R 14020 -589  544 -1630
W 14040  646  615 -1080
R 14040 -589  544 -1630
W 14060  646  615 -1080
R 14060 -589  544 -589  544 -1630
W 14100  646  615 -1080
R 14100 -589  544 -1630
W 14120  646  615 -1080
R 14120 -589  544 -1630
W 14140  646  615 -1080
R 14140 -589  544 -1630
W 14160  646  615 -1080
R 14160 -589  589  544 -1630
W 14200  646  615 -1080
R 14200 -589  544 -1630
W 14220  646  615 -1080
R 14220 -589  544 -1630
W 14240  646  615 -1080
R 14240 -589  544 -1630
W 14260  646  615 -1080
R 14260 -589  589  544 -1630
W 14300  646  615 -1080
R 14300 -589  544 -1630
W 14320  646  615 -1080
R 14320 -589  544 -1630
W 14340  646  615 -1080
R 14340 -589  544 -1630
W 14360  646  615 -1080
R 14360 -589  544 -1630
W 14380  646  615 -1080
R 14380 -589  544 -1630
W 14400  646  615 -1080
R 14400 -589  544 -1630
W 14420  646  615 -1080
R 14420 -589  544 -1630
W 14440  646  615 -1080
R 14440 -589  544 -589  544 -1630
W 14480  646  615 -1080
R 14480 -589  544 -1630
W 14500  646  615 -1080
R 14500 -589  544 -1630
W 14520  646  615 -1080
R 14520 -589  544 -1630
W 14540  646  615 -1080
R 14540 -589  589  544 -1630
W 14580  646  615 -1080
R 14580 -589  544 -1630
W 14600  646  615 -1080
R 14600 -589  544 -1630
W 14620  646  615 -1080
R 14620 -589  544 -1630
W 14640  646  615 -1080
R 14640 -589  544 -1630
W 14660  646  615 -1080
R 14660 -589  544 -1630
W 14680  646  615 -1080
R 14680 -589  544 -1630
W 14700  646  615 -1080
R 14700 -589  544 -1630
W 14720  646  615 -1080
R 14720 -589  544 -1630
W 14740  646  615 -1080
R 14740 -589  544 -1630
W 14760  646  615 -1080
R 14760 -589  544 -1630
W 14780  646  615 -1080
R 14780 -589  544 -1630
W 14800  646  615 -1080
R 14800 -589  544 -1630
W 14820  646  615 -1080
R 14820 -589  544 -1630
W 14840  646  615 -1080
R 14840 -589  544 -1630
W 14860  646  615 -1080
R 14860 -589  544 -1630
W 14880  646  615 -1080
R 14880 -589  544 -1630
W 14900  646  615 -1080
R 14900 -589  544 -1630
W 14920  646  615 -1080
R 14920 -589  544 -1630
W 14940  646  615 -1080
R 14940 -589  544 -1630
W 14960  646  615 -1080
R 14960 -589  544 -1630
W 14980  646  615 -1080
R 14980 -589  544 -1630
W 15000  646  615 -1080
R 15000 -589  544 -1630
W 15020  646  615 -1080
R 15020 -589  544 -1630
W 15040  646  615 -1080
R 15040 -589  544 -1630
W 15060  646  6589  544 -1630
W 15100  646  615 -1080
R 15100 -589  544 -1630
W 15120  646  615 -1080
R 15120 -589  544 -1630
W 15140  646  615 -1080
R 15140 -589  544 -1630
W 15160  646  615 -1080
R 15160 -589  544 -1630
W 15180  646  615 -1080
R 15180 -589  544 -1630
W 15200  646  615 -1080
R 15200 -589  544 -1630
W 15220  646  615 -1080
R 15220 -589  544 -1630
W 15240  646  615 -1080
R 15240 -589  544 -589  544 -1630
W 15300  646  615 -1080
R 15300 -589  544 -1630
W 15320  646  615 -1080
R 15320 -589  544 -1630
W 15340  646  615 -1080
R 15340 -589  544 -1630
W 15360  646  615 -1080
R 15360 -589  544 -1630
W 15380  646  615 -1080
R 15380 -589  544 -1630
W 15400  646  615 -1080
R 15400 -589  544 -1630
W 15420  646  615 -1080
R 15420 -589  544 -1630
W 15440  646  615 -1080
R 15440 -589  544 -589  544 -1630
W 15520  646  615 -1080
R 15520 -589  544 -1630
W 15540  646  615 -1080
R 15540 -589  544 -1630
W 15560  646  615 -1080
R 15560 -589  544 -1630
W 15580  646  615 -1080
R 15580 -589  544 -1630
W 15600  646  615 -1080
R 15600 -589  544 -1630
W 15620  646  615 -1080
R 15620 -589  544 -1630
W 15640  646  615 -1080
R 15640 -589  544 -1630
W 15660  646  615 -1080
R 15660 -589  544 -589  544 -1630
W 15700  646  615 -1080
R 15700 -589  544 -1630
W 15720  646  615 -1080
R 15720 -589  544 -1630
W 15740  646  615 -1080
R 15740 -589  544 -1630
W 15760  646  615 -1080
R 15760 -589  544 -1630
W 15780  646  615 -1080
R 15780 -589  544 -1630
W 15800  646  615 -1080
R 15800 -589  544 -1630
W 15820  646  615 -1080
R 15820 -589  544 -1630
W 15840  646  615 -1080
R 15840 -589  544 -589  544 -1630
W 15880  646  615 -1080
R 15880 -589  544 -1630
W 15900  646  615 -1080
R 15900 -589  544 -1630
W 15920  646  615 -1080
R 15920 -589  544 -1630
W 15940  646  615 -1080
R 15940 -589  544 -1630
W 15960  646  615 -1080
R 15960 -589  544 -1630
W 15980  646  615 -1080
R 15980 -589  544 -1630
W 16000  646  615 -1080
R 16000 -589  544 -1630
W 16020  646  615 -1080
R 16020 -589  544 -589  544 -1630
W 16080  646  615 -1080
R 16080 -589  544 -1630
W 16100  646  615 -1080
R 16100 -589  544 -1630
W 16120  646  615 -1080
R 16120 -589  544 -1630
W 16140  646  615 -1080
R 16140 -589  544 -1630
W 16160  646  615 -1080
R 16160 -589  544 -1630
W 16180  646  615 -1080
R 16180 -589  544 -1630
W 16200  646  615 -1080
R 16200 -589  544 -1630
W 16220  646  615 -1080
R 16220 -589  544 -589  544 -1630
W 16280  646  615 -1080
R 16280 -589  544 -1630
W 16300  646  615 -1080
R 16300 -589  544 -1630
W 16320  646  615 -1080
R 16320 -589  544 -1630
W 16340  646  615 -1080
R 16340 -589  544 -1630
W 16360  646  615 -1080
R 16360 -589  544 -1630
W 16380  646  615 -1080
R 16380 -589  544 -1630
W 16400  646  615 -1080
R 16400 -589  544 -1630
W 16420  646  615 -1080
R 16420 -589  544 -589  544 -1630
W 16480  646  615 -1080
R 16480 -589  544 -1630
W 16500  646  615 -1080
R 16500 -589  544 -1630
W 16520  646  615 -1080
R 16520 -589  544 -1630
W 16540  646  615 -1080
R 16540 -589  544 -1630
W 16560  646  615 -1080
R 16560 -589  544 -1630
W 16580  646  615 -1080
R 16580 -589  544 -1630
W 16600  646  615 -1080
R 16600 -589  544 -1630
W 16620  646  615 -1080
R 16620 -589  544 -589  544 -1630
W 16700  646  615 -1080
R 16700 -589  544 -1630
W 16720  646  615 -1080
R 16720 -589  544 -1630
W 16740  646  615 -1080
R 16740 -589  544 -1630
W 16760  646  615 -1080
R 16760 -589  544 -1630
W 16780  646  615 -1080
R 16780 -589  544 -1630
W 16800  646  615 -1080
R 16800 -589  544 -1630
W 16820  646  615 -1080
R 16820 -589  544 -1630
W 16840  646  615 -1080
R 16840 -589  544 -1630
W 16860  646  615 -1080
R 16860 -589  544 -1630
W 16880  646  615 -1080
R 16880 -589  544 -1630
W 16900  646  615 -1080
R 16900 -589  544 -1630
W 16920  646  615 -1080
R 16920 -589  544 -1630
589  544 -1630
W 16980  646  615 -1080
R 16980 -589  544 -1630
W 17000  646  615 -1080
R 17000 -589  544 -1630
W 17020  646  615 -1080
R 17020 -589  544 -1630
W 17040  646  615 -1080
R 17040 -589  544 -1630
W 17060  646  615 -1080
R 17060 -589  544 -1630
W 17080  646  615 -1080
R 17080 -589  544 -1630
W 17100  646  615 -1080
R 17100 -589  544 -1630
W 17120  646  615 -1080
R 17120 -589  544 -1630
W 17140  646  615 -1080
R 17140 -589  544 -1630
W 17160  646  615 -1080
R 17160 -589  544 -1630
W 17180  646  615 -1080
R 17180 -589  544 -1630
W 17200  646  615 -1080
R 17200 -589  544 -1630
589  544 -1630
W 17260  646  615 -1080
R 17260 -589  544 -1630
W 17280  646  615 -1080
R 17280 -589  544 -1630
W 17300  646  615 -1080
R 17300 -589  544 -1630
W 17320  646  615 -1080
R 17320 -589  544 -1630
W 17340  646  615 -1080
R 17340 -589  544 -1630
W 17360  646  615 -1080
R 17360 -589  544 -1630
W 17380  646  615 -1080
R 17380 -589  544 -1630
W 17400  646  615 -1080
R 17400 -589  544 -589  544 -1630
W 17460  646  615 -1080
R 17460 -589  544 -1630
W 17480  646  615 -1080
R 17480 -589  544 -1630
W 17500  646  615 -1080
R 17500 -589  544 -1630
W 17520  646  615 -1080
R 17520 -589  544 -1630
W 17540  646  615 -1080
R 17540 -589  544 -1630
W 17560  646  615 -1080
R 17560 -589  544 -1630
W 17580  646  615 -1080
R 17580 -589  544 -1630
W 17600  646  615 -1080
R 17600 -589  544 -589  544 -1630
W 17640  646  615 -1080
R 17640 -589  544 -1630
W 17660  646  615 -1080
R 17660 -589  544 -1630
W 17680  646  615 -1080
R 17680 -589  544 -1630
W 17700  646  615 -1080
R 17700 -589  589  544 -1630
W 17740  646  615 -1080
R 17740 -589  544 -1630
W 17760  646  615 -1080
R 17760 -589  544 -1630
W 17780  646  615 -1080
R 17780 -589  544 -1630
W 17800  646  615 -1080
R 17800 -589  589  544 -1630
W 17840  646  615 -1080
R 17840 -589  544 -1630
W 17860  646  615 -1080
R 17860 -589  544 -1630
W 17880  646  615 -1080
R 17880 -589  544 -1630
W 17900  646  615 -1080
R 17900 -589  589  544 -1630
W 17940  646  615 -1080
R 17940 -589  544 -1630
W 17960  646  615 -1080
R 17960 -589  544 -1630
W 17980  646  615 -1080
R 17980 -589  544 -1630
W 18000  646  615 -1080
R 18000 -589  589  544 -1630
W 18040  646  615 -1080
R 18040 -589  544 -1630
W 18060  646  615 -1080
R 18060 -589  544 -1630
W 18080  646  615 -1080
R 18080 -589  544 -1630
W 18100  646  615 -1080
R 18100 -589  544 -1630
W 18120  646  615 -1080
R 18120 -589  544 -1630
W 18140  646  615 -1080
R 18140 -589  544 -1630
W 18160  646  615 -1080
R 18160 -589  544 -1630
W 18180  646  615 -1080
R 18180 -589  544 -589  544 -1630
W 18580  646  615 -1080
R 18580 -589  544 -1630
W 18600  646  615 -1080
R 18600 -589  544 -1630
W 18620  646  615 -1080
R 18620 -589  544 -1630
W 18640  646  615 -1080
R 18640 -589  544 -1630
W 18660  646  615 -1080
R 18660 -589  544 -1630
W 18680  646  615 -1080
R 18680 -589  544 -1630
W 18700  646  615 -1080
R 18700 -589  544 -1630
W 18720  646  615 -1080
R 18720 -589  544 -1630
W 18740  646  615 -1080
R 18740 -589  544 -1630
W 18760  646  615 -1080
R 18760 -589  544 -1630
W 18780  646  615 -1080
R 18780 -589  544 -1630
W 18800  646  615 -1080
R 18800 -589  544 -1630
W 18820  646  615 -1080
R 18820 -589  544 -1630
W 18840  646  615 -1080
R 18840 -589  544 -1630
W 18860  646  615 -1080
R 18860 -589  544 -1630
W 18880  646  615 -1080
R 18880 -589  544 -1630
W 189589  544 -1630
W 18920  646  615 -1080
R 18920 -589  544 -1630
W 18940  646  615 -1080
R 18940 -589  544 -1630
W 18960  646  615 -1080
R 18960 -589  544 -1630
W 18980  646  615 -1080
R 18980 -589  589  544 -1630
W 19020  646  615 -1080
R 19020 -589  544 -1630
W 19040  646  615 -1080
R 19040 -589  544 -1630
W 19060  646  615 -1080
R 19060 -589  544 -1630
W 19080  646  615 -1080
R 19080 -589  589  544 -1630
W 19140  646  615 -1080
R 19140 -589  544 -1630
W 19160  646  615 -1080
R 19160 -589  544 -1630
W 19180  646  615 -1080
R 19180 -589  544 -1630
W 19200  646  615 -1080
R 19200 -589  544 -1630
W 19220  646  615 -1080
R 19220 -589  544 -1630
W 19240  646  615 -1080
R 19240 -589  544 -1630
W 19260  646  615 -1080
R 19260 -589  544 -1630
W 19280  646  615 -1080
R 19280 -589  544 -589  544 -1630
W 19320  646  615 -1080
R 19320 -589  544 -1630
W 19340  646  615 -1080
R 19340 -589  544 -1630
W 19360  646  615 -1080
R 19360 -589  544 -1630
W 19380  646  615 -1080
R 19380 -589  544 -1630
W 19400  646  615 -1080
R 19400 -589  544 -1630
W 19420  646  615 -1080
R 19420 -589  544 -1630
W 19440  646  615 -1080
R 19440 -589  544 -1630
W 19460  646  615 -1080
R 19460 -589  544 -589  544 -1630
W 19500  646  615 -1080
R 19500 -589  544 -1630
W 19520  646  615 -1080
R 19520 -589  544 -1630
W 19540  646  615 -1080
R 19540 -589  544 -1630
W 19560  646  615 -1080
R 19560 -589  589  544 -1630
W 19620  646  615 -1080
R 19620 -589  544 -1630
W 19640  646  615 -1080
R 19640 -589  544 -1630
W 19660  646  615 -1080
R 19660 -589  544 -1630
W 19680  646  615 -1080
R 19680 -589  544 -1630
W 19700  646  615 -1080
R 19700 -589  544 -1630
W 19720  646  615 -1080
R 19720 -589  544 -1630
W 19740  646  615 -1080
R 19740 -589  544 -1630
W 19760  646  615 -1080
R 19760 -589  544 -589  544 -1630
W 19840  646  615 -1080
R 19840 -589  544 -1630
W 19860  646  615 -1080
R 19860 -589  544 -1630
W 19880  646  615 -1080
R 19880 -589  544 -1630
W 19900  646  615 -1080
R 19900 -589  589  544 -1630
W 19940  646  615 -1080
R 19940 -589  544 -1630
W 19960  646  615 -1080
R 19960 -589  544 -1630
W 19980  646  615 -1080
R 19980 -589  544 -1630
W 20000  646  615 -1080
R 20000 -589  589  544 -1630
W 20040  646  615 -1080
R 20040 -589  544 -1630
W 20060  646  615 -1080
R 20060 -589  544 -1630
W 20080  646  615 -1080
R 20080 -589  544 -1630
W 20100  646  615 -1080
R 20100 -589  544 -1630
W 20120  646  615 -1080
R 20120 -589  544 -1630
W 20140  646  615 -1080
R 20140 -589  544 -1630
W 20160  646  615 -1080
R 20160 -589  544 -1630
W 20180  646  615 -1080
R 20180 -589  544 -1630
W 20200  646  615 -1080
R 20200 -589  544 -1630
W 20220  646  615 -1080
R 20220 -589  544 -1630
W 20240  646  615 -1080
R 20240 -589  544 -1630
W 20260  646  615 -1080
R 20260 -589  544 -1630
W 20280  646  615 -1080
R 20280 -589  544 -1630
W 20300  646  615 -1080
R 20300 -589  544 -1630
W 20320  646  615 -1080
R 20320 -589  544 -1630
W 20340  646  615 -1080
R 20340 -589  544 -1630
W 203589  544 -1630
W 20420  646  615 -1080
R 20420 -589  544 -1630
W 20440  646  615 -1080
R 20440 -589  544 -1630
W 20460  646  615 -1080
R 20460 -589  544 -1630
W 20480  646  615 -1080
R 20480 -589  544 -1630
W 20500  646  615 -1080
R 20500 -589  544 -1630
W 20520  646  615 -1080
R 20520 -589  544 -1630
W 20540  646  615 -1080
R 20540 -589  544 -1630
W 20560  646  615 -1080
R 20560 -589  544 -1630
W 20580  646  615 -1080
R 20580 -589  544 -1630
W 20600  646  615 -1080
R 20600 -589  544 -1630
W 20620  646  615 -1080
R 20620 -589  544 -1630
W 20640  646  615 -1080
R 20640 -589  544 -1630
589  544 -1630
W 20680  646  615 -1080
R 20680 -589  544 -1630
W 20700  646  615 -1080
R 20700 -589  544 -1630
W 20720  646  615 -1080
R 20720 -589  544 -1630
W 20740  646  615 -1080
R 20740 -589  589  544 -1630
W 20780  646  615 -1080
R 20780 -589  544 -1630
W 20800  646  615 -1080
R 20800 -589  544 -1630
W 20820  646  615 -1080
R 20820 -589  544 -1630
W 20840  646  615 -1080
R 20840 -589  589  544 -1630
W 20880  646  615 -1080
R 20880 -589  544 -1630
W 20900  646  615 -1080
R 20900 -589  544 -1630
W 20920  646  615 -1080
R 20920 -589  544 -1630
W 20940  646  615 -1080
R 20940 -589  589  544 -1630
W 20980  646  615 -1080
R 20980 -589  544 -1630
W 21000  646  615 -1080
R 21000 -589  544 -1630
W 21020  646  615 -1080
R 21020 -589  544 -1630
W 21040  646  615 -1080
R 21040 -589  589  544 -1630
W 21080  646  615 -1080
R 21080 -589  544 -1630
W 21100  646  615 -1080
R 21100 -589  544 -1630
W 21120  646  615 -1080
R 21120 -589  544 -1630
W 21140  646  615 -1080
R 21140 -589  544 -1630
W 21160  646  615 -1080
R 21160 -589  544 -1630
W 21180  646  615 -1080
R 21180 -589  544 -1630
W 21200  646  615 -1080
R 21200 -589  544 -1630
W 21220  646  615 -1080
R 21220 -589  544 -589  544 -1630
W 21260  646  615 -1080
R 21260 -589  544 -1630
W 21280  646  615 -1080
R 21280 -589  544 -1630
W 21300  646  615 -1080
R 21300 -589  544 -1630
W 21320  646  615 -1080
R 21320 -589  589  544 -1630
W 21380  646  615 -1080
R 21380 -589  544 -1630
W 21400  646  615 -1080
R 21400 -589  544 -1630
W 21420  646  615 -1080
R 21420 -589  544 -1630
W 21440  646  615 -1080
R 21440 -589  589  544 -1630
W 21480  646  615 -1080
R 21480 -589  544 -1630
W 21500  646  615 -1080
R 21500 -589  544 -1630
W 21520  646  615 -1080
R 21520 -589  544 -1630
W 21540  646  615 -1080
R 21540 -589  544 -1630
W 21560  646  615 -1080
R 21560 -589  544 -1630
W 21580  646  615 -1080
R 21580 -589  544 -1630
W 21600  646  615 -1080
R 21600 -589  544 -1630
W 21620  646  615 -1080
R 21620 -589  544 -589  544 -1630
W 21660  646  615 -1080
R 21660 -589  544 -1630
W 21680  646  615 -1080
R 21680 -589  544 -1630
W 21700  646  615 -1080
R 21700 -589  544 -1630
W 21720  646  615 -1080
R 21720 -589  589  544 -1630
W 21800  646  615 -1080
R 21800 -589  544 -1630
W 21820  646  615 -1080
R 21820 -589  544 -1630
W 21840  646  615 -1080
R 21840 -589  544 -1630
W 21860  646  615 -1080
R 21860 -589  589  544 -1630
W 21900  646  615 -1080
R 21900 -589  544 -1630
W 21920  646  615 -1080
R 21920 -589  544 -1630
W 21940  646  615 -1080
R 21940 -589  544 -1630
W 21960  646  615 -1080
R 21960 -589  544 -1630
W 21980  646  615 -1080
R 21980 -589  544 -1630
W 22000  646  615 -1080
R 22000 -589  544 -1630
W 22020  646  615 -1080
R 22020 -589  544 -1630
W 22040  646  615 -1080
R 22040 -589  544 -589  544 -1630
W 22080  646  615 -1080
R 22080 -589  544 -1630
W 22100  646  615 -1080
R 22100 -589  544 -1630
W 22120  646  615 -1080
R 22120 -589  544 -1630
W 22140  646  615 -1080
R 22140 -589  544 -1630
W 22160  646  615 -1080
R 22160 -589  544 -1630
W 22180  646  615 -1080
R 22180 -589  544 -1630
W 22200  646  615 -1080
R 22200 -589  544 -1630
W 22220  646  615 -1080
R 22220 -589  544 -589  544 -1630
W 22260  646  615 -1080
R 22260 -589  544 -1630
W 22280  646  615 -1080
R 22280 -589  544 -1630
