1/5/17: perfect grab and dump; 
jeff messed up one_dump code
joce video taped the move
wheel_init
pre_auton
%  batt 8.15v 8.15v
L: t_push=   200
usercontrol
% -- Start auto_a
K1 1087  360  100  550
% -- Curved motion to grab cube
WHEEL_MONITOR=MONITOR
W 2620  577  340 -1013
R 2620  243 1340 -1563
W 2640  578  344 -1022
R 2640  227 1329 -1572
W 2660  579  349 -1031
R 2660  211 1318 -1581
W 2680  580  354 -1039
R 2680  195 1306 -1589
W 2700  581  358 -1046
R 2700  179 1294 -1596
W 2720  582  363 -1051
R 2720  163 1281 -1601
W 2740  584  368 -1056
R 2740  147 1268 -1606
W 2760  585  374 -1063
R 2760  127 1253 -1613
W 2780  587  380 -1067
R 2780  107 1235 -1617
W 2800  589  387 -1066
R 2800   88 1216 -1616
W 2820  591  393 -1064
R 2820   71 1197 -1614
W 2840  593  399 -1062
R 2840   52 1177 -1612
W 2860  595  405 -1060
R 2860   34 1159 -1610
W 2880  596  412 -1059
R 2880   15 1140 -1609
W 2900  598  418 -1059
R 2900   -3 1121 -1609
W 2920  600  424 -1057
R 2920  -21 1102 -1607
W 2940  602  430 -1055
R 2940  -39 1083 -1605
W 2960  603  436 -1053
R 2960  -55 1064 -1603
W 2980  605  442 -1049
R 2980  -72 1046 -1599
W 3000  606  448 -1046
R 3000  -88 1027 -1596
W 3020  608  454 -1043
R 3020 -105 1009 -1593
W 3040  610  460 -1038
R 3040 -121  991 -1588
W 3060  611  465 -1036
R 3060 -137  974 -1586
W 3080  612  471 -1037
R 3080 -154  958 -1587
W 3100  614  477 -1036
R 3100 -171  939 -1586
W 3120  615  483 -1035
R 3120 -189  921 -1585
W 3140  617  489 -1036
R 3140 -206  903 -1586
W 3160  618  495 -1036
R 3160 -223  887 -1586
W 3180  619  501 -1037
R 3180 -241  870 -1587
W 3200  621  506 -1037
R 3200 -257  851 -1587
W 3220  622  513 -1036
R 3220 -276  833 -1586
W 3240  624  519 -1036
R 3240 -293  815 -1586
W 3260  625  525 -1036
