THIS IS A GOOD ONE

wheel_init
pre_auton
%  batt 7.80v 8.19v
L: t_push=    70
usercontrol
% -- Start auto_a
DUMP_MONITOR=START
DUMP_MONITOR=MONITOR
WHEEL_MONITOR=MONITOR
D 11400 127  360    0
W 11400 -187  411 -709
R 11400  -28  900 -1259
D 11420 127  360    0
W 11420 -189  416 -703
R 11420  -42  882 -1253
D 11440 127  357  -25
W 11440 -191  421 -697
R 114 -1232
D 11520   0  350    0
W 11520 -199  442 -678
R 11520 -114  796 -1228
D 11540   0  351    8
W 11540 -201  448 -673
R 11540 -130  778 -1223
D 11560   0  353   16
W 11560 -203  452 -669
R 1156017
D 11600 127  403  250
W 11600 -208  463 -664
R 11600 -174  728 -1214
D 11620 127  435  266
W 11620 -210  468 -661
R 11620 -188  711 -1211
D 11640 127  478  358
W 11640 -212  472 -659
R 11640 -2060 127  775  416
W 11760 -224  499 -649
R 11760 -281  607 -1199
D 11780 127  831  466
W 11780 -226  503 -646
R 11780 -293  592 -1196
D 11800 127  885  450
W 11800 -228  507 -642
R 11800 -304  578 -  341
W 11980 -248  545 -582
R 11980 -410  438 -1132
D 12000   0 1369  350
W 12000 -251  549 -573
R 12000 -422  420 -1123
D 12020   0 1400  258
W 12020 -254  554 -563
R 12020 -434  403 -1113
D 12040   0 1432  266
W 12040 -256  558 -555
R 12040 -446  386 -1105
D 12060   0 1441   75
W 12060 -259  562 -546
R 12060 -456  370 -1096
D 12080   0 1445   33
W 12080 -261  565 -537
R 12080 -466  356 -1087
D 12100   0 1451   50
W 12100 -264  568 -528
R 12100 -476  342 -1078
D 12120   0 1459   66
W 12120 -267  572 -521
R 12120 -486  324 -1071
D 12140   0 1455  -33
W 12140 -270  576 -512
R 12140 -497  306 -1062
D 12160   0 1453  -16
W 12160 -274  581 -504
R 12160 -510  286 -1054
D 12180   0 1456   25
W 12180 -277  585 -497
R 12180 -522  266 -1047
D 12200   0 1453  -25
W 12200 -281  590 -490
R 12200 -536  246 -1040
D 12220   0 1453    0
W 12220 -285  594 -483
R 12220 -548  226 -1033
D 12240   0 1453    0
W 12240 -288  598 -476
R 12240 -560  209 -1026
D 12260   0 1453    0
W 12260 -291  601 -469
R 12260 -570  194 -1019
D 12280   0 1453    0
W 12280 -293  603 -462
R 12280 -577  181 -1012
D 12300   0 1454    8
W 12300 -296  606 -454
R 12300 -583  167 -1004
D 12320   0 1455    8
W 12320 -298  608 -447
R 12320 -590  157 -997
D 12340   0 1455    0
W 12340 -300  610 -441
R 12340 -594  148 -991
D 12360   0 1455    0
W 12360 -301  611 -436
R 12360 -596  142 -986
D 12380   0 1450  -41
W 12380 -301  611 -431
R 12380 -596  136 -981
D 12400   0 1438 -100
W 12400 -302  612 -427
R 12400 -596  132 -977
D 12420   0 1421 -141
W 12420 -302  612 -424
R 12420 -596  130 -974
D 12440   0 1410  -91
W 12440 -302  612 -422
R 12440 -596  128 -972
D 12460   0 1402  -66
W 12460 -302  612 -422
R 12460 -596  128 -972
D 12480   0 1389 -108
W 12480 -302  612 -424
R 12480 -597  128 -974
D 12500   0 1368 -175
W 12500 -302  612 -427
R 12500 -597  128 -977
D 12520   0 1342 -216
W 12520 -302  612 -430
R 12520 -597  128 -980
D 12540   0 1316 -216
W 12540 -302  612 -434
R 12540 -597  128 -984
D 12560   0 1289 -225
W 12560 -302  612 -439
R 12560 -597  128 -989
D 12580 -127 1258 -258
W 12580 -302  612 -444
R 12580 -597  128 -994
D 12600 -127 1232 -216
W 12600 -302  612 -449
R 12600 -597  128 -999
D 12620 -127 1204 -233
W 12620 -302  612 -454
R 12620 -597  128 -1004
D 12640 -127 1176 -233
W 12640 -302  612 -459
R 12640 -597  128 -1009
D 12660 -127 1150 -216
W 12660 -302  612 -464
R 12660 -597  128 -1014
D 12680 -127 1128 -183
W 12680 -302  612 -469
R 12680 -597  128 -1019
D 12700 -127 1106 -183
W 12700 -302  612 -475
R 12700 -597  128 -1025
D 12720 -127 1086 -166
W 12720 -302  612 -481
R 12720 -597  128 -1031
D 12740 -127 1064 -183
W 12740 -302  612 -488
R 12740 -597  128 -1038
D 12760 -127 1043 -175
W 12760 -302  612 -495
R 12760 -597  128 -1045
D 12780 -127 1022 -175
W 12780 -302  612 -504
R 12780 -597  128 -1054
D 12800 -127 1000 -183
W 12800 -302  612 -513
R 12800 -597  128 -1063
D 12820 -127  980 -166
W 12820 -302  612 -523
R 12820 -597  128 -1073
D 12840 -127  956 -200
W 12840 -302  612 -534
R 12840 -597  128 -1084
D 12860 -127  930 -216
W 12860 -302  612 -544
R 12860 -597  128 -1094
D 12880 -127  905 -208
W 12880 -302  612 -554
R 12880 -597  128 -1104
D 12900 -127  883 -183
W 12900 -302  612 -563
R 12900 -597  128 -1113
D 12920 -127  864 -158
W 12920 -302  612 -572
R 12920 -597  128 -1122
D 12940 -127  843 -175
W 12940 -302  612 -582
R 12940 -597  128 -1132
D 12960 -127  822 -175
W 12960 -302  612 -591
R 12960 -597  128 -1141
D 12980 -127  798 -200
W 12980 -302  612 -602
R 12980 -597  128 -1152
D 13000 -127  771 -225
W 13000 -302  612 -614
R 13000 -597  128 -1164
D 13020 -127  748 -191
W 13020 -302  612 -626
R 13020 -597  128 -1176
D 13040 -127  721 -225
W 13040 -302  612 -639
R 13040 -597  128 -1189
D 13060 -127  698 -191
W 13060 -302  612 -652
R 13060 -597  128 -1202
D 13080 -127  676 -183
W 13080 -302  612 -666
R 13080 -597  128 -1216
D 13100 -127  652 -200
W 13100 -302  612 -680
R 13100 -597  128 -1230
D 13120 -127  632 -166
W 13120 -302  612 -696
R 13120 -597  128 -1246
