SSS v= 8073  t=  240
SSS -213  3539  1356    19
%P VOLT1   = 7978
%P VOLT2   = 8073
%P S2_SC   =  0.99
%P L_ANG_MAX = 240
B 2630 796   10  259
B 2640 797   10  259
B 2650 797   10  259
B 2660 797 -120  259
B 2670 797 -120  259
B 2680 751 -120  259
B 2690 684 -120  259
B 2700 679 -120  259
B 2710 695 -120  259
B 2720 713 -120  255
B 2730 730 -120  249
B 2740 733 -120  243
B 2750 714 -120  235
B 2760 680 -120  223
B 2770 650 -120  210
B 2780 638 -120  194
B 2790 646 -120  176
B 2800 665 -120  157
B 2810 686 -120  138
B 2820 704 -120  118
B 2830 717 -120   97
B 2840 722 -120   75
B 2850 724 -120   53
B 2860 724 -120   29
B 2870 726 -120    5
push -13 -10
push out at target
B 2880 729   80  -15
B 2890 726   80  -27
B 2900 705   80  -40
B 2910 676   80  -55
B 2920 639   80  -71
B 2930 651   80  -85
B 2940 675   80 -102
B 2950 700   80 -119
B 2960 706   80 -135
B 2970 669   80 -147
B 2980 627   80 -153
B 2990 600   39 -153
B 3000 589   10 -153
B 3010 689   10 -147
B 3020 739   10 -136
B 3030 763   10 -126
B 3040 776   10 -114
B 3050 783   10 -102
B 3060 786   10  -90
B 3070 788   10  -78
B 3080 789   10  -67
pb end 
B 3090 790   10  -56
B 3100 791   10  -45
SSS v= 7923  t=  261
SSS -201  3539  1356   -37
%P VOLT1   = 7978
%P VOLT2   = 7923
%P S2_SC   =  1.01
%P L_ANG_MAX = 261
S 7923  -201  3539  1356
B 3111 791  121  -34
B 3121 792  121  -25
B 3131 752  121  -18
B 3141 713  121  -11
B 3151 714  121   -4
B 3161 726  121    2
B 3171 739  121    7
B 3181 750  121   16
B 3191 753  121   21
B 3201 733  121   26
B 3212 688  121   34
B 3223 645  121   45
B 3233 617  121   58
B 3243 613  101   70
B 3253 625   76   81
B 3265 645   49   95
B 3275 683   30  106
B 3285 719   30  118
B 3295 743   30  130
B 3305 758   30  141
B 3315 765   30  153
B 3325 769   30  163
B 3335 772   30  174
B 3345 773   30  183
B 3355 775   30  193
pull out 202
B 3365 776   10  203
B 3375 777   10  211
B 3385 783   10  219
B 3396 789   10  227
B 3407 791   10  235
B 3417 792   10  241
B 3427 792   10  247
B 3437 793   10  251
B 3448 794   10  255
B 3458 794   10  259
B 3468 794   10  263
B 3478 794   10  266
B 3488 795   10  269
B 3498 795   10  270
B 3508 795   10  271
B 3518 795   10  272
B 3528 795   10  272
B 3538 795   10  272
B 3548 796   10  272
B 3558 796   10  272
B 3568 796   10  272
B 3578 796   10  272
B 3588 796   10  272
B 3598 796   10  272
B 3608 796   10  271
B 3618 796   10  271
B 3628 796   10  269
B 3638 796   10  267
B 3648 796   10  266
B 3658 797   10  265
B 3668 797   10  265
B 3678 797   10  264
B 3688 797 -121  263
B 3698 797 -121  263
B 3708 797 -121  263
B 3718 797 -121  263
B 3728 711 -121  262
B 3738 681 -121  261
B 3748 688 -121  259
B 3758 706 -121  258
B 3768 726 -121  255
B 3778 739 -121  251
B 3788 739 -121  247
B 3798 712 -121  239
B 3808 669 -121  229
B 3818 636 -121  215
B 3828 624 -121  200
B 3838 636 -121  183
B 3848 658 -121  166
B 3858 682 -121  147
B 3868 701 -121  128
B 3878 713 -121  108
B 3888 718 -121   87
B 3898 719 -121   65
B 3908 719 -121   42
B 3918 719 -121   19
B 3928 724 -121   -6
push -12 -10
push out at target
B 3938 727   80  -21
B 3948 718   80  -33
B 3958 672   80  -46
B 3968 644   80  -61
B 3978 660   80  -74
B 3988 685   80  -89
B 3998 707   80 -105
B 4008 711   80 -119
B 4018 672   80 -130
B 4028 629   80 -134
B 4038 601   23 -135
B 4048 636    0 -134
B 4058 702   10 -130
B 4068 742   10 -119
B 4078 765   10 -109
B 4088 776   10  -98
B 4098 782   10  -87
B 4108 785   10  -76
B 4118 788   10  -65
B 4128 789   10  -54
B 4138 790   10  -43
pb end 
B 4148 790   10  -33
B 4158 791   10  -22
SSS v= 7919  t=  266
SSS -199  3539  1356   -13
%P VOLT1   = 7978
%P VOLT2   = 7919
%P S2_SC   =  1.01
%P L_ANG_MAX = 266
S 7919  -199  3539  1356
B 4169 791  121  -11
B 4180 792  121   -2
B 4190 779  121    4
B 4200 717  121   10
B 4210 711  121   15
B 4220 721  121   18
B 4230 734  121   21
B 4240 745  121   27
B 4250 743  121   28
B 4260 715  121   31
B 4270 668  121   38
B 4280 631  121   46
B 4290 604  121   57
B 4300 597  108   67
B 4310 608   81   78
B 4320 629   58   88
B 4330 645   37   99
B 4340 700   30  109
B 4350 732   30  120
B 4360 751   30  131
B 4370 760   30  142
B 4380 765   30  151
B 4390 769   30  161
B 4400 771   30  171
B 4410 773   30  179
B 4420 774   30  187
B 4430 775   30  197
B 4440 776   30  205
pull out 206
B 4450 776   10  211
B 4460 779   10  218
B 4470 786   10  224
B 4480 789   10  230
B 4490 791   10  235
B 4500 791   10  239
B 4510 792   10  243
B 4520 792   10  247
B 4530 793   10  250
B 4540 793   10  253
B 4550 793   10  255
B 4560 794   10  256
B 4570 794   10  257
B 4580 794   10  257
B 4590 794   10  257
B 4600 795   10  257
B 4610 794 -121  257
B 4620 794 -121  257
B 4630 695 -121  257
B 4640 673 -121  257
B 4650 684 -121  255
B 4660 703 -121  252
B 4670 721 -121  247
B 4680 735 -121  241
B 4690 732 -121  234
B 4700 705 -121  225
B 4710 670 -121  212
B 4720 644 -121  197
B 4730 639 -121  180
B 4740 652 -121  162
B 4750 672 -121  143
B 4760 693 -121  123
B 4770 709 -121  103
B 4780 719 -121   81
B 4790 723 -121   59
B 4800 724 -121   36
B 4810 724 -121   12
B 4820 725 -121  -11
push -12 -10
push out at target
B 4830 725   80  -23
B 4840 677   80  -35
B 4850 640   80  -49
B 4860 657   80  -59
B 4870 681   80  -74
B 4880 704   80  -88
B 4890 716   80 -101
B 4900 687   80 -111
B 4910 641   73 -117
B 4920 610   39 -117
B 4930 627   10 -117
B 4940 680   10 -111
B 4950 725   10  -99
B 4960 757   10  -87
B 4970 772   10  -77
B 4980 780   10  -64
B 4990 783   10  -51
B 5000 786   10  -38
B 5010 787   10  -26
B 5020 788   10  -13
pb end 
B 5030 789   10   -1
% tshot=5046
L   0 -127  353    0
R   0 -127  135    0
G   0 -127 -200    0
W  20 -127  244    0
G  20 -127 -200    0
W  40 -127  244   -5
