  0 788  121   -3
 10 789  121   -3
 20 782  121   -3
 30 688  121   -3
 40 673  121   -3
 50 683  121   -3
 60 701  121   -3
 70 717  121   -3
 80 717  121   -3
 90 683  121   -3
100 640  121    5
110 605  121   15
120 591  121   26
130 599  121   36
140 619  121   46
151 638  121   56
162 647  110   66
172 643   85   77
183 631   60   88
193 625   35   99
204 658   30  111
215 715   30  124
225 738   30  136
235 749   30  144
245 756   30  155
256 760   30  165
267 763   30  176
277 765   30  184
288 766   30  194
298 767   30  201
308 767 -121  208
318 767 -121  215
328 749 -121  221
338 662 -121  226
348 655 -121  229
358 671 -121  233
368 692 -121  237
378 710 -121  240
388 710 -121  241
398 677 -121  241
408 630 -121  240
418 600 -121  233
428 587 -121  221
438 598 -121  207
448 626 -121  192
458 654 -121  176
468 678 -121  157
478 691 -121  140
489 698 -121  118
499 698 -121   98
509 698 -121   77
519 701 -121   53
529 706 -121   30
539 712 -121    5
549 719   81  -17
560 719   81  -29
571 695   81  -44
582 653   81  -59
592 634   81  -75
604 657   81  -91
614 682   81 -108
624 699   81 -123
635 679   81 -139
645 637   81 -146
655 603   48 -147
665 587    0 -147
675 660   10 -147
685 718   10 -135
695 747   10 -124
706 761   10 -112
716 768   10  -99
727 772   10  -87
738 775   10  -73
748 777   10  -62
759 777   10  -51
99999 0 0 0 
  0 791  121    0
 10 791  121    0
 20 696  121    0
 30 675  121    0
 40 683  121    0
 50 697  121    0
 60 698  121    0
 70 668  121    1
 80 623  121    9
 90 594  121   18
100 589  121   29
110 605  121   39
120 626  121   47
130 643  121   56
140 648  110   65
150 641   90   75
160 631   65   85
170 625   37   97
180 670   30  107
190 710   30  118
200 736   30  129
210 750   30  139
220 757   30  148
230 761   30  157
240 764   30  165
250 766   30  176
261 768   30  185
271 768   30  192
282 769   30  199
293 768 -121  206
303 720 -121  213
313 660 -121  217
323 659 -121  221
333 676 -121  225
344 698 -121  229
354 715 -121  230
365 704 -121  231
376 656 -121  231
386 617 -121  229
397 594 -121  217
407 598 -121  201
417 618 -121  188
428 648 -121  170
438 674 -121  152
448 691 -121  134
458 699 -121  117
470 700 -121   91
481 700 -121   68
492 703 -121   43
502 708 -121   18
512 715 -121   -5
522 721   80  -23
533 713   80  -35
545 681   80  -51
555 644   80  -65
565 632   80  -80
575 652   80  -96
586 677   80 -115
597 699   80 -133
607 680   80 -147
617 638   80 -155
628 603   56 -157
638 588    5 -156
648 665   10 -155
658 721   10 -144
669 751   10 -133
680 765   10 -121
690 771   10 -109
701 775   10  -97
711 777   10  -85
722 779   10  -75
732 780   10  -64
99999 0 0 0 
  0 790  121   -2
 11 790  121   -2
 21 790  121   -2
 31 724  121   -2
 42 675  121   -2
 52 673  121   -2
 62 669  121   -2
 72 648  121   -1
 82 614  121    6
 92 594  121   14
102 593  121   24
113 606  121   33
123 623  121   41
133 635  121   50
143 636  121   59
153 630  107   68
163 623   91   77
173 620   74   87
184 622   54   98
194 648   32  109
204 668   30  120
215 707   30  131
226 731   30  143
236 746   30  154
247 755   30  165
258 760   30  176
269 763   30  185
279 765   30  195
289 766   30  203
300 767   30  211
311 767 -121  218
321 767 -121  225
331 766 -121  231
341 673 -121  237
352 654 -121  240
362 668 -121  245
373 689 -121  249
383 709 -121  251
393 710 -121  252
403 679 -121  252
414 633 -121  252
425 599 -121  243
435 588 -121  229
446 605 -121  213
457 636 -121  197
467 664 -121  180
477 686 -121  161
487 697 -121  142
498 700 -121  122
509 700 -121   99
521 701 -121   72
531 705 -121   47
541 711 -121   25
551 718 -121    0
561 727   80  -21
571 722   80  -31
581 698   80  -44
591 648   80  -59
601 646   80  -72
611 667   80  -87
621 689   80 -103
631 704   80 -118
641 689   80 -131
651 646   80 -140
661 609   65 -142
671 591    6 -142
681 661   10 -141
691 723   10 -132
701 749   10 -121
711 762   10 -112
721 769   10 -101
732 774   10  -89
742 776   10  -77
752 777   10  -67
763 779   10  -56
99999 0 0 0 
  0 790    0    0
 10 790  121    0
 20 719  121    1
 30 674  121    1
 40 672  121    1
 50 672  121    1
 60 653  121    1
 70 618  121    5
 80 593  121   14
 90 589  121   23
100 602  121   32
110 622  121   41
120 636  121   49
130 640  121   57
140 634  108   67
150 624   85   76
160 619   62   86
170 621   37   97
180 655   30  107
190 709   30  118
200 735   30  129
210 748   30  138
220 755   30  146
230 760   30  155
240 762   30  164
250 764   30  173
260 766   30  181
270 767   30  188
280 767   30  195
290 767 -121  201
300 767 -121  207
310 686 -121  212
320 656 -121  215
330 666 -121  219
340 686 -121  223
350 705 -121  225
360 716 -121  226
370 698 -121  226
380 654 -121  225
390 616 -121  221
400 595 -121  210
410 596 -121  196
420 618 -121  181
430 645 -121  165
440 671 -121  147
450 689 -121  129
460 699 -121  110
470 701 -121   90
480 700 -121   69
490 701 -121   46
500 705 -121   23
510 710 -121   -1
520 716   81  -20
530 713   81  -31
540 669   81  -43
550 637   81  -56
560 654   81  -67
570 677   81  -81
580 699   81  -95
590 705   81 -108
600 670   81 -119
610 629   81 -122
620 598   14 -123
630 587    0 -122
640 585   10 -115
650 650   10 -103
660 715   10  -91
670 746   10  -80
680 761   10  -67
690 768   10  -54
700 773   10  -41
710 775   10  -28
720 776   10  -15
730 778   10   -3
99999 0 0 0 
  0 785  122   15
 10 785  122   15
 20 785  122   15
 30 731  122   15
 40 670  122   15
 50 656  122   15
 60 644  122   15
 72 616  122   16
 82 594  122   18
 92 586  122   25
102 593  122   33
112 607  122   41
122 620  122   48
132 624  122   55
142 622  118   63
152 615   97   71
163 610   74   81
173 615   53   90
183 630   33   99
193 662   30  109
203 698   30  119
213 725   30  129
223 742   30  138
233 751   30  147
243 756   30  155
253 759   30  163
263 758   30  172
273 753   30  179
283 753   30  186
293 755   30  192
303 759 -122  198
313 761 -122  204
323 675 -122  209
333 650 -122  211
343 661 -122  215
353 681 -122  219
363 701 -122  221
373 713 -122  221
383 696 -122  221
393 653 -122  221
403 615 -122  217
413 594 -122  205
423 597 -122  191
433 618 -122  175
443 646 -122  159
453 671 -122  141
463 688 -122  124
473 697 -122  105
483 699 -122   85
493 698 -122   63
503 700 -122   41
513 703 -122   17
523 709 -122   -6
533 714   81  -23
543 708   81  -33
553 658   81  -47
563 636   81  -59
573 652   81  -71
583 675   81  -87
593 697   81 -100
603 700   81 -114
613 662   81 -124
623 622   74 -127
633 596   14 -127
643 640   10 -127
653 706   10 -119
663 739   10 -107
673 757   10  -97
683 766   10  -84
693 771   10  -72
703 773   10  -60
713 775   10  -48
723 776   10  -36
99999 0 0 0 
  0 784  122   13
 10 784  122   13
 20 712  122   13
 30 665  122   13
 40 650  122   13
 50 635  122   14
 60 612  122   14
 70 591  122   18
 80 583  122   25
 91 591  122   33
101 607  122   40
111 618  122   47
121 620  122   54
131 616  120   61
